,bookid,name,has_disability,words,bookname
36,mdp.39015008821251,Elena,0,commanded quenched conferring say kept responded say disregarded snarled took continued sat thought wailed climbed found run wanted filled put thrust went silenced speak rebuffed do meant afford insisted protested battering gave located called began pulled found stepped flung intends responded welcomed see said eats gestured felt distrusted found surprised muttered caught had intended kept want went said want thought found studying listening expected knew make turned wore demanded retorted recoiled feel imagine guess said panted whirled ignored reached snatched clasp turned asked gasped recoiled shook said retorted understand felt know stared exclaimed thought heard lowered answer looked aged lowered murmured left raise returned held offered see deserve accepted dreaded allowed was spoke had said said moved meant stopped clinging said trying guess retreated said fell remembering spoke stopped said finished recurred sensed growled tensed paused was stood were stood understood stumbled gagged felt do wanted forced returned hear saying argue said raised see known had wore met saw heard was dreaming awoke uncovered found spoken chosen want answer met stay announce turned had concluded asked made interposed stood controlled gaze faced glanced commanded paid faced wanted say had replied wanted lacked were felt want writhe avoided knew was spread invoking lowered walking remained was distrusted studied occupied thought found breathing shrugged keep reached winced considered said turned tensed muttered heard believe saw hurried thinking followed recognized said took said turned remembered motioned guided began found said seemed drinking passed felt hear forgot began meant said ran followed trotting dropped discarding reached vanished see see see seemed leaned noticed broke shook join saw laughed stared see broke bobbed treading pulled replied move continued stooped snatched pulled plunged see popped looked tried reached reappeared lifted lunged slipped grappled came was felt upended opened see swam reached turned kicked thrust thrashed left reinjured knew had seemed lay felt had learned joined feel asked rolled sat touched lifted held saw meant lay have murmured said breathed reclined tried kept said heard see follow wore came stopped exchanged said bowed left put said look stood failed bowed look was started come tore hurried resisting laced sprang asked taught lost knew knew made take said rose controlled intended responded spoke winced stopped knew replied seemed nodded nodded watching asking said hastened said telling awaits turned pulled said said wondered went kept was saluted moved met turned saw groaned see halted stopped said panting understand watched whispered responded wanted think asked shrugged said urged mount had sang used felt had suggested suggested spoke acquiesced responded expressed clasped moved went striving nodded look concentrating continued articulated faltered faltered stooped stop rasped strode was promised looked enjoyed was exerted fell saw stopped see stood expected had had rasped nodded said held know said moved seated given said halted know appear stood presenting felt want lifted thought began left do had rode made felt presided arrived expected brought like consoled replied seen declined spoke gripped grinning said looked muttered glanced regarded deferred provided did comprehend rasped ignored responded went wander grind consumed went descended wanted lifted bowed met stared looked ride repudiated sensed seen have have have chosen personified relaxed caught realized wanted felt see want tell realized made had tangled draw went looked shattered daunted turned began studied trying stood accompany raped see needed sat mustered began accepted asked winced came feared receive have rasped faltered like was know risked trusted felt change responded had was sensed felt lost thought lost raised said replied bear said heard drew followed left came raised return ate said had gazed said muttered abandoned followed shouting managed got heard saved started cried realized looked replied turned ached said reached recoiled turned walking looked feel refused turned saw paid glanced saw took seen knew recognized feared said placed felt lifted see think stumbling had listed heard turn needed huddle ran smashed recoiled lurched placed sat do spent brimmed escape shook bit felt waking stalked bother dropped endure sprang left saw gaze halted realized had made bargain buy saw know held take undertake made help fighting understood thought found shivering started found wore entered looked meet appear drew close asked inquiring stood reached returned found look smiled appeared hugged asked tried said went thought said assured hugged attempt put forgot seemed were dozed remember said insisted mumbling said struggled retained see discussing scrutinized judged trotted lay see explained walked made trying foresaw want saw recollected finished eating turned asked listened tackled eluded repeated demanded hung reciting said gaped waved stared meant see fear reached swing discovered move halted felt comprehend stood losing understood attempting abandoned learn afford recoiled found stopped leaned breathed groaned moved hurt thought go gazed climbed replied appeared strove recite allowed parried said said gave possessed took greeted obeyed touching gagged know gave regained bounded moan muttering opened erect was said said missed needed pull tried winced reminding made scrutinized felt pushed asked cautioned answered gazed went stop went cautioned felt forced had saw continued took was said replied felt multiplied learned said turned moved see stopped remained come found smelled realized make sensed heard tread wanted said said bring had say sensed cared knew spare nodded said added found met intended seemed smiled said tried went watched discount gripped made feel needed keep observed turned followed exclaimed said snapped stopped raise repress followed looked felt moved nodded murmured stepped moved stand hear understood walking rasped forget fallen felt done moved came flung saw nodded had held break disappeared touched stepped silenced was looked muttering knew was stopped know walked arose hugged Ms released strove said heard told came muttered felt writ reached expected moved played quickened see negotiated afford muttered lurched heard hugged made approached extinguished went sleepwalking reached took standing see asked standing spoke gestured moved entered walked repressed clutched sat seemed taken defied looked tore gaze saw lifted felt speculating gaped need cried sat told gave trails stood gripped was answered hastened shouted saying shied thinking mustered swallowed endangered concluded have sat scratched felt missed sat shook remembering followed stiffened pushed thrust kept burrowed propped felt crawled shook was see found knew stand was heard raised blinked was see pushed wanted had reached looked gazing looked lost try heard caught meant going say made thrust find seemed scrabbled relaxed gained catch watch going look reached see squeezed stood staring spoke continued replied recollected said met clinging felt suffocating keep began locate tell identify concentrate had fevered lurched staggered straighten soaked spoke jerked raised lifted stumbled gaped lost was reached located said sounded stepped torn wailed knelt were saw caused was remembered shudder watched saw cried turn said delivered said turned rasped seemed spoke confirmed added raised stooped lowered took leaped appeared raised stood spoke uttering shouted braced knelt dwarfed towered had groaned cried meant repeated reached received lit saw Went said called sound wanted stepped glanced noticed probed realize turned lost dropped made told concluded added understood turned said seemed panted erupted raged spat knew shouted sculpted see look cried turned stared limped left choose facing added compelled snatched dried trapped kill blinding trapped compelled approaching faced disturbed touched face watching match understand silenced agitated answer justified woke seen identified hate torn guided faced jolted steered confused see regarded see neared strike intend guided told touched led take followed urge appalled see join occupied misled buoyed reached pushed reached caught kissed joined regarding saw taught confused informed controlled calmed staggered watching accosted met watching stopped ask promised roused stopped sickened Tell watched advised tamed expected join regarded distorted addressed ignored told buffeting told summoned lose met see discern surprised shocked met put contact counted wished tell killed accompany follow fascinated chosen chosen relieved chosen gazed tell felt joined compelled blamed helping allowing eluded wavered dismayed watched followed tumbled saved help held snared appalled took restrained struck changed made chilled left surprised formed help keep help manipulate kissed carry hugged assured hugged put wrapped kept trusting occupied whistled reminded taught eluded distract drained dismayed hurt warned help found led launched touched catch touch ignored heard released reminding intrigued stopped shaken moved Jell ask satisfied understand explore face touched save studied stopped swallowed caught brought brought held helped catch clasp forgiven saved determined ask roweled startled faced hear stopped convince follow followed forced flattened pounded drenched attacked told swamped burned warn catch reduced told confronted dropped stifled shook shuddered gone poised appalled watched cried beseeched reached possessed enfolded strike remembered reach roused done answered see taught exposed save cried leper leper summoner afraid aware sympathetic leper deep invisible conscious afraid wrong Warmark able solid fruit more more ??? overburdened half grateful immune mute diving ready grateful able unmoved wrong able grave impatient enrapt numb conscious thing responsible unharmed visible part granddaughter appeal outrage distress clothes hands nerves head hurt heart skeleton disease delusion hopes enemies weakness leprosy skin limbs fingers head forehead injury voice clothes eyes T-shirt boots suite feet fear ears arms chest voice relief arm hands hold arms palms summoner voice concerns head sight back frown forehead tone face sight finger ring fingers hand fingers arm concern astonishment voice passion emotions self-possession words voice face conviction hand attention head hands gaze forehead courage violence feet eyes frown forehead aid question delusion incomprehension voice springwine feet footing voice spine stomach emptiness teeth chest throat tone head child mother familiarity mother mother discipline face mother shoulders door friend heart dread robe wrath influence arrival claim left weariness eyes distress husband arms tongue arms expectations shoulders face chest ribs rectitude encounter skull voice surroundings eyes sight enjoyment robe image head astonishment substance mouth hand fingers boots legs head head head ankles tugging feet eyes arms neck lungs ribs boots hurt ribs bruises exertions heart breathing body leprosy back fingertips heart eyes hair fingers eyes gaze voice voice heart pulse chest presence breathing ears appearance influence waist shoulders side hair face tone hand face voice toes head arm features eyes socks feet boots feet strategy quarters left impatience argument reasoning logic explanation approximation inquiry desire second-in-command excitement salute throat army breath horse tunic chest reply assertion shoulders companions gaze mood voice memory tone strength throw mount denial problem sightlessness face side Morin throat face arms head mount location head answer sword plan feet sight hand sunglasses chest face expression shoulder face teeth heart brain side decision anxiety lips love sense ability absence fault plan force ancestry irrefusability invitation beauty presence treatment alertly Ranyhyn seat hurt spring ration courage fingers beard need hold ability response right dread relief self-defense heart question attempts relief self-distaste attention questions facility tongue beard illness voice voice emotion surprise voice suggestion side head party attention side power question Raiiyhyn throat mustang mount horse feet rescue companions efforts breathing Ranyhyn arms arms touch ire fall veins days sight face feet head eyes enemy interest ire daughter wife arms embrace cheek smoke self-awareness arms chest weakness leprosy illness feet fists self-consciousness anger shout fury teeth clothes face flesh heart bones memory mind terms survival salvatiorr impulse powerful passion service drives peril heart clothes despondent robe eyes lips comments shivers lips now kiss tone bones blankets bargain attention plunge cheeks forehead eyes battered face conceptions bargain mustang thoughts gift glimpse guess fever sense situation side mustang stomach bargain guide experience answer tone lips question arms absence back face shoulders eyes temples touch face flesh skull capacity arms eyes jaw mind thoughts mind peril body head eyes head hands escape weakness figure heart feet surprise ring finger assent answers answers evasiveness bargain fears helplessness conviction attention efforts reply head hands voice hands eyes shoulder shoulder distress intuition head outburst intuition concern burst forehead hand words tone thinking surprise word effort own inflection offenses reasoning voice smile feet face eyes bargain duty face gaze sarcasm face failure back sidelong covertly stride knuckles head mind balance beard hand beard conduct name head lips bargain head beard voice feet side back eyes back doom improvidence compromise bargain pace speed fire arms hand chance hand finger finger chest shoulder knees hands ears feet face feeling senses face selfTcommand thanks face head relief ring self-control light concentration bargain muscles chest light end existence pace dizziness eyes nerves words eyes back feet arms turn temples boots seat surprise voice back suspense feet board grasp question heart eyes wonder voice position attention courage bargain cause words band recitation companions tone countenance head limitations weariness eyes face breath delusion eyes bones face nerves unfitness head mouth hands palms companions sense life consciousness knees forehead hands neck head eyes feet boots balance face grasp strength elsewhere eyes footing summons Stop feet boots sense strides movements steps knees eyes tears flame eyes surroundings vision voice years shoulders immunity answer intense veins cheeks ring balance footing perceptions senses explication throat speech tone sentence stance head eyes skin cheeks hair measure voice question cheeks face appeal bones flesh tears muscles shoulder shoulder robe climax passion touch mind cries duplicity violence futility need gaze blur bend condensed hands uses answer gaze power focus gaze voice head direction face exaltation feet hands burst threw more fire arms face ??? forehead fists flame feet voice face plight bargain fall ears inefficacy voice pain face self-mastery lips mind fury neck temples bargain granddaughter cut forehead eyes face dreams forehead,The Illearth War
37,mdp.39015040597794,Jack,0,run see run run see terrified run run run run learns run run run run said says See See got called worried lazy slower normal,Flowers for Algernon
38,pst.000018729719,Constantin,0,trying said had drove told took sat said arguing kept seduce want asked sitting said made lay lying find sink lying left came expect sat turn answer said know told had felling holding engaged left studying short handsome American tan man husband way tan restaurant apartment room balcony shoes back hands head shirt skin watch shirt eyelids nose mouth hand fingers shoes,The Bell Jar
39,mdp.39015000608102,Ed Handby,0,succeeded hired come wanted lost growled cross follow suffer appeared thought knew had catching hurled shoul mind wife assurance woman purpose fists,"Winesburg, Ohio"
40,uc1.32106002122734,Mr. Ewell,0,do change accused arrested have came was had said nodded did tell looked stood sitting turned keep reminded heard was said backed began said thought called had asked heard considered said read wrote said turned see beaten had leaned seem say say run did run did did stopped chew approached call killed had got do loses go kill take gave said acquired found resumed accused wanted kept leaning said get thought meant cut was saying get got did meant was got threatened had come had had thought yanked stabbed fell killed fell got was went found wanted fell permitted accused silenced made determined bunged got deprived told get approached cursed kill killed came Put saw got yanked yanked killed yanked stabbed get witness endearing man veteran guilty gas man dead tryin ways children girl house girl face finger handiwork 'n life left right eye education left-handed skin face life shoes shred system appeal sentence views burst job notoriety appearances check job lyin ribs mind knife knife knife craw time time sister knife,To Kill A Mockingbird
41,mdp.39015040597794,Rose,0,terrified catch learn be learn knows help gets do sits grabs trembling forgotten is makes know makes turns screeching lived goes fled listening staring was screamed Leave teach fooling Driving leave kill Leave got answers frightens Get dummy normal slow normal animal Matt sick better able better name mind relatives mother parents face face face eyes,Flowers for Algernon
42,uc1.32106011264659,Nelson,0,said let looked took seemed turned made looked grinned had said worked said unscrewed raised screwed said said had said said said did looked said grinned stopped sat started took took feeling took patted said pulled said grinned said found feeling opened said watching said said fixed pushed said leaned going saw stepped show picked took looked let said hear said raised said put yelled yelled say meet show watching tired shoes hands shoulders shoulders topcoat whiskey whiskey hat hat eyes lips topcoat pockets wallet eyes way head wallet face voice face,Cathedral
43,uc1.32106011264659,Howard,0,told called seemed left been going said kissed wake drove took knew kept knew pulled sat closed got unlocked left have said picked asked held said hung went called sleeping lathered hauled picked said put ran going wake said said said said gazed felt began said stood said said waited looked left supposed touched said 's sat wanted took feel picked held got rode closed said say sat rubbed looked settled woke looked got come 's wakes come have does wakes said shook said said said said said said drinking wanted helped said said said rolled nodded was told said added said standing turned said nodded wake please said turned opened took went left ran came looked made shook said said said looked took closed got found thought sat began gone got put took saw dropped took held gave heard picked know had answered said hung said said said said bake came said put said sat stood helped stretched supposed told take gone gone happy afraid lungs life satisfaction parents brothers sister friends leg eyes hand face ear face eyes breathing hand fingers hand fingers grip hand fingers son office limbs head head breathing lap wife eyes face son eyes signs shoulder eyes clothes beard face worry words expression features breathing hands back shoulders shoulders skull arms eyes head mother father hands forehead face face head shoulders shoulders hand knees head shoulder shoulder sobs chest chest cup hand coat,Cathedral
44,uc1.$b322793,Smith,0,stood said mind sing ridden stood eat hope brought thought come wilted recrossed thought told said had leave meet forced watching seeing asked raged man ideal weight hair appearance idea legs shoe,The Last September
45,uc1.b3462870,Mrs. Orion,0,was came hung moved explained fall turn said settled had snored snored tapped flicked snored snored declined objected said convinced called sweater hands armchair snore beard bed,Alice in Bed
46,uc1.32106011264659,Benny,0,had said stuck knew used liked said said got looked said said sat knows said asked said said looked said drank put said said said said put said said said looked looked said said said say drunk hand shoes eyes pocket glass shoulder,Cathedral
47,uc1.32106002122734,Francis,0,enjoyed take kissed said requested asked lived inform managed knew sat graduated sat said hooted said grinned mean lets 's rose called is jerked yelled appeared asked came shot 's knows came shouted come came said jumped climbed said thought was said reckoned looked started pointed bawled provocated called call said was said getting did knew gave called said said said produced deposited avoided passed keeps turned sat supposed got holdin asked leave take call older child ruinin nothin wife grandparents hair distance hands pockets teeth tears hair cheek block,To Kill A Mockingbird
48,pst.000044192167,Willie,0,left stood dressed stammered trying went stacked stopping carried mopped gets waiting gets joined throwed say remember come tried keep playing waited hung said gazed noticed bit said followed stood backed cut pay working been had were used done got got play rolled said understand felt had did said said means felt said playing started excited drag see sent knowed sent put taken help let 1-1-lamming ready lazy boy afraid good younger boy happy home cap apron fist music father mind face father tie fingers feet harp here palms eyes ear head ears face time legs hands harp harp lips shoulders thighs legs,The Heart is a Lonely Hunter
49,mdp.39015054067759,Henry Dobbins,0,carried carried carried carried ate asked thought said carried said carried playing was wrapping said liked liked slept take felt believed thought make tripped slipped went took disassemble said said watched shrugged smiled said shook closed said laughed speak sat said said nodded began handed said made said lay said looked took said said slapped shook said rigged find said looked gave said excused needed drawn caught dumped killed cheer fond man invulnerable silent chest girlfriend neck gear girlfriend neck stripes suit belly country girlfriend neck eccentricity nose girlfriend face girlfriend neck shoulder nose girlfriend neck gun shoulders head eyes back canteen throat hands jaw throat lip eye eye eyebrows nose hair forehead fingernails cheek cheek chin neck head elbow eyes voice,The Things They Carried
50,mdp.39015028400326,Burton,0,putting holler banged cried stood picked struck imitated seen hollered said turned fall stood pushed met said crossed looked lost said said carried shrugged stood sitting smiling said let start came gave looked rocked looked looked looked said looked stooped pulled smiled grew patted pulled said said smiled said got upend had held let held said held held said opened held looked scooted paused opened opened reached held held made said let needs building taking caught hated said said touching stood threw standing turned had GAVE moved thought graduated made moved work was had worked come finished said said turn move turn kissed went was did walking made tapped waved seemed said came squatted said spoke spoke stopped snarled going set leaning talk seem leaning said said turned get been said paused looked said staring stopped build looked stared said gave stopped took whispered said said paused said ran recognize turned said blinked sent gave given started flicked said stopped gaze wanted knew went pulled sent meet circled warning warned done had sitting had let straightened looked said looked said said rubbed shrugged said held whistled said started putting come said got said smiled said laughed disappeared shared signed said sat smiling grinned held sat leaning say stopped raised let had gave took dating insisted honked bought said had went recognize pulled held hung had was turns married met was called had quit started suckling showed worked know come lost gone wearing taking had held brought informed throwing took said were sat flinching blabbered said said paused said said were crying set followed leaned climbed turn called used stopping come taken had knowing saw finished pushed sent sent gone sent lifted brought gone kissed kissed woken see made held Thank roll watched overheard rousted gone sent hit urge instructed dressed picked told honked cut see told told married told born thing faithful young wrong next sons Head skin shoulder arms head great-grandpa d leg leg shoulder father hair arms chest jacket hand chair face hat fine eyes sleep hair beaus child sister pockets way head hands pockets face shoulders hands steps small face palms mercy cradled present arm legs present grin face touch leads great-grandpa biscuits sleep plug paycheck hand hands pockets brother food face sleep scrape sister workboots pockets steps toe hair face eyes hip mouth arms mouth lips lips eyes nose back hands report words eyes head sister steps eyes chin ear brother eyes words head hair daddy head face letter eyes letter gloves face neck arms neck daddy hand daddy dart head name hand daddy way life round daddy hands head drop daddy pocket tie horn hands hips face eyes face brother name face hands girls girlfriend truck uniform arms days clothing hands world leg comb eyes Susan door Rambler toe sister words face daddy house,Jewel
51,uc1.$b322793,David,0,stood sound said agreed glanced said watched was had said have stirred look stirred enjoys got looks intrigued intrigued tossing blushed looked returned die came creaking heard looked said go put taken like come kill says heard leaned had following wants needs decided witnessed observed taken count looked came leaned got said said share hurried cast carried get like kill determined struck nicest general manliness behaviour complexion hair collar racquet ears tea tea audience Liwy chair front head partner engagement,The Last September
52,uc1.b3462870,Dear Katie,0,told hear hear Do asked said sighed missed been missed daydreamed imagined imagined had had had said said wearing lay said unbuckled improve sleep calling told kissed boyfriend backyard face women face schedule knee chin head nightgown shoulders head legs,Alice in Bed
53,mdp.39015046349141,Mrs Compson,0,announce announce announce says says forgot began wore held stood called listening cross called crossed gathered said toiled said went returned got hear entered ceased went shouted listened prepared said said said said said shut watched picked said loaded see staggered called setlEe laid called wanted said began watched said stood mounted skirts said stood loomed said said made see save knew lowered stood held said turned said returned looked drew descended did said peered looked descending said said said said said said said said said said said sullin mounted saw quit unlocked spoke carry got have said carry wore resisted said said said said said said began said put began said said said said shook said said wenTto said said went called tried called said said opened thought said answer said said exhumed said have said want said said open watched saw met flung hurt followed touched shook asleep business chin head skirts room cabin face name face eyes gown name apron hands apron chin holding foot hand face body hand apron head flesh gaze time sacque pocket hand Qiigntin on door head case brow hand eyes hair,The Sound and the Fury
54,pst.000044192167,Etta,0,stopped sitting said covered done quivered began was thought written came come thought scrape primped have pull looking hold said carried went make said knelt got had look took thought sit went scrubbed made ran put wore put worn stood stood looked looked tried stuck finished lifted turned looked feel went stood felt knew said went want stood kept sold get had sat made had wore bring painted taken kept worked quit have written gave wanted named write had got know learned begin began started think hum figured had bawled came had had had talking dressed listened jerked was had looked left said pushed said sleep lost said Wait felt loaned wore looked go felt say saw read hurt given hush primped grown tell O.K. full tall somebody ashamed hungry baby age sick sick able toenails hair chin shaggy hand forehead nose pool mind jaw profile mouth face hands arms hands mind eyes teacher clothes crepe hair shorts heels knees elbows brassieres ankles hair bangs hair chin eyes face dress seemed life Dad warm box Dad initials mind ??? mind mind feel voice Dad Dad perfume hand box face stomach ovary ovary hair job job time working clothes face eyebrows keep Dad,The Heart is a Lonely Hunter
55,mdp.39015000608102,New Willard House,0,formed swaggered wanted stopped muttered organised held walked turned intended said made involved made wife son name arms shake friend friend daughter knees,"Winesburg, Ohio"
56,uc1.32106002122734,Miss Stephanie,0,knew said said said said woke told woke said looking thinks follow said singing had came wore said go said seemed wanted see waving trembling told said said said eyed told say watching see crossed believed did trusted shut call called found bring encouraged lost busy enough sweetheart hands hips house think face door steps head tendency preoccupation nose house pleasure lights window,To Kill A Mockingbird
57,uc1.b3462870,Dr. Onnen,0,announced twisted said said explained asked says said said said said condemning asked added continued,Alice in Bed
58,uc1.32106002122734,Aunt Alexandra,0,understand had sat chose coming seemed lived permit joined uphold expressed said said put worrying stopped said been said said do said looked said come said said give took said guess let called stepped gave welcomed born told analogous cold irritable fat figure gossip furious husband cooking shelves life corset bosom waist rear appearance Society reputation kind embroidery embroidery needle words presence glasses aim off reasons glasses,To Kill A Mockingbird
59,mdp.39015008821251,Warward,0,has lost passed had parted going fall came came attacked marched seen made was meet led faced saving rejoined tool ready hope,The Illearth War
60,mdp.39015000608102,Curtis Hartman,0,thought went plead made was go went remembered thought began worked lived married promised want wanted forgot talked understand go conquered sat told let denied stayed be came found took waited waited come had remembered got arose stumbled went turned stopped sitting sat protruded came pastor old man horror student son able nature prayers head wife church eyes hands sermons zeal embarrassment experience way days day daughter will sermon congregation talk house house feet mind,"Winesburg, Ohio"
61,mdp.39015000608102,Tom Foster,0,came get got was slipped got lived ran loved asserted escape stood saw lived take forgot come had enjoyed did picked had enjoyed appeared move said got felt needed lived said explained loved told sent loved filling excited young small messenger source drunk grandmother grandmother grandmother age head voice gentleness years place life action mind voice life,"Winesburg, Ohio"
62,mdp.39015040597794,Fanny,0,askd told rote said told said said remarked 's stared decorating whispered exited asked one cusin lips,Flowers for Algernon
63,mdp.39015054102655,Caravaggio,0,pushes hear undresses is looks looks washing reminds walks spreads walks watches leans comes says watching says be finds is slips sees moves looks feels given leaves looking see shakes is hears knows move entered get stripped ambles having leans is is pats staggers opens climbs enter told looking lies rolls gets understands hears turns watches watches buries knows like think knows turn sits prefers sits thinks sits learning watches known came see stood said thought care paused seemed lay trust began disturb lay was survived seen collects lies finds collect swims misses learned taught live lay woke picked had have gripped looked received known feared remove grew cared called swabbed removed felt transported caring ignored meet desired wanted moved broke leave step wanted said going remain lay refused carried stepped moved sit wanted turn wanted walked went shared sat caught got refused had watched smiled said peered begins steps raises holds turns moves holds nods watched walked walked stepped dropped collected wrote made lay thought found stood had thought go walked hidden is was see returned found grumbles learned stops begins taught aims wolfs drinks speaks entered walk unthreaded traced humming moves wears hear come picked thinks announces sees thinks laughs says sleeps sees met discovered robbing clap was lying paced sat pull suspected taking spent peeled used suspected gone been loved drink takes pours wanders happens acknowledges studies pulled thinks uses diverts passed said revealed found said said wanted looked pulled saw ran scooped paused took went needed saw sat lowered smell put entered hear moves guess does is turns sits thinks looked did sits return is avoided watches needs was said wanted continued lifted is disturbing does enjoys picks uses stands feels bathes is allowed knows thinks wakes loves loves reaches folds asks explain listen says shrugs said sitting sniffed carried stared found broke slips thinks knows says worked believed was stole thinks places reflected goes flying lifts lift lie says drags goes turned glances thinks owes remember walk forget get waved spoke noticed had returned says says displays show managed lay came loved loved understood knew passed recognized had disguised realized grown believe tried having hear walked straightened singing began had needed spoke worked positions sees puts come curl is spent moves passes passes sees spins bends said came see turns wishes wishes thinks drop sees thinks seem swung watches talks travels feels catching picks leaps picks turns stays says wants wants knows dance knows get needs leans turned lean rub blurt sat sat think leaned paused dragged was raised felt been said had looking wished listening opened thought looked walked knew pressing wanted doing sat noticed asked began told told liked heard had listened realized insists releases done see enters hear sits is thinks bear knows left bury hear lies closes sees eaten stripped undid feels steps leaned felt bear waiting lift walked came felt said walked weaving went began travelling took knew lay carried opened uncovered sitting looking flicked found wish given unearthed held packed held carried made is smells removes wears closes reminds watching find found brought let read sniffing watches reminds seen love saved left find wakes trained surrounded link lock told changed locked slowed loved trails stops watched brings seeing halting pulled put find watched stare treat see find argues ask watching captured knew trust asks see forget diverted hitting touched pulled holding believed amazed leaving met tightened concerned diverted pressing veering charmed leaving bury sees aware calm aware aware able thief uncertain saint useful useful capable thief writer comfortable thin hungry magician free sure wrong older aware youth fussy familiar child man lover man man thief curious old small aware loud AImdsy blunt thief meticulous human Englishman sure doctor busy palms neck head feet fingers mouth nod hair skills body motive mind head throat hands clothes face hip evening head waves disguise life chest pass penis failure shadow hands feet arms hand eyes wife eyes wife wife heart hands hands stubble-beard jacket hand darkness arms wings patients role war skating pencils legs youth arms childhood classroom somersault hands pockets shoulders eyes hair mind father food mind mouth face time spirit nurse hair war nurse shoes care dress eye shadow cheek wavering look drawl arm pockets arms eyes eyes hands cheek neck hands hands face mouth jaw arms hands Bonfire hands face hands hand brain wanderings rifle plate wrist kind entrance glasses head chin hands lap hands hands bag onions herbs cup supply canteen mind mind eyes glance hand fingers mouth grizzled shoulder body side arms snore boots shoulder tent head boots fingers lips sane hand satchel shoulder walk life life hands songs darkness forearm neck palms cheek self-sufficiency neck chest tent body body voice all fingers body world self-sufficiency ability tent tent chest heart arrival pocket flesh teeth eye face legs arms way shoulders business accent cheeks face hand nature darkness shock pleasure breath hand neck face face foot voice way chest arms neck mouth neck light hands hands hands hands feet hands mouth body arm forehead lamp arm body back thighs light head age dancing grief arm arm stomach arms age head head chair chest hair eyes jaw face thoughts hands face dark shoulder knees steps days body tenseness gestures silence gestures arm cheek stubble hair face trunk pocket head lap heart ear figure home nostrils clothes tent eyes uniform hair eyes career chin forearm path arms skin body parallel horizontal knapsack ??? country family palm family hand body clothes coat son,The English Patient
64,mdp.39015002153180,Mrs. Freeman,0,had used used did stand stand gaze remark arrive told vomited tell happened had keeping telephoned say said said managed stand stand stand thought stand found take began call had preferred listen walk made keep was said insisting moved said said went repeated said said filled sat showed perceive wish asked went said marry said said looking said thought started begun lain think regarded saw drove re \ said was brought brought tolerate saved stand touched fascinate finishing keep reach lady quicker sullen bad dealings expression eyes face eyes case daughters anywhere years farmer skirt head mother displeasure face Hulga relish eyes face seemed elbow eggs arms face attention eggs mother neck room attention,A Good Man is Hard to Find
